#{"t_start": 1716476490.580547, "env_id": "None"}
r,l,t
-200.0,30,12.481442
-400.0,30,12.481453
-190.0,30,12.605811
-200.0,30,12.605847
10.0,30,12.605856
110.0,30,12.605862
120.0,30,12.605868
10.0,30,12.605872
20.0,30,12.605877
-90.0,30,12.605881
-180.0,30,12.732082
-290.0,30,12.732127
-200.0,30,12.732135
-190.0,30,12.73214
-200.0,30,12.732145
-200.0,30,12.732149
-180.0,30,12.732153
-180.0,30,12.732157
120.0,30,12.854818
-190.0,30,12.854841
-200.0,30,12.854853
-390.0,30,12.854858
110.0,30,12.854863
20.0,30,12.854872
-190.0,30,12.854876
-180.0,30,12.85488
-200.0,30,12.965191
-200.0,30,12.965209
-200.0,30,12.965215
10.0,30,12.965225
20.0,30,12.965229
-300.0,30,12.965233
30.0,30,12.965237
-200.0,30,12.965241
-390.0,30,13.071327
120.0,30,13.07135
-390.0,30,13.071356
-90.0,30,13.071366
-380.0,30,13.071371
10.0,30,13.071375
0.0,30,13.071379
-180.0,30,13.071383
10.0,30,13.179207
-290.0,30,13.179237
-190.0,30,13.179247
110.0,30,13.179253
-180.0,30,13.179257
-200.0,30,13.179261
10.0,30,13.179266
10.0,30,13.17927
0.0,30,13.28664
-390.0,30,13.286659
20.0,30,13.286665
120.0,30,13.28667
-590.0,30,13.286674
120.0,30,13.286679
-300.0,30,13.286683
-190.0,30,13.286687
-100.0,30,13.393732
10.0,30,13.393753
-390.0,30,13.393759
-180.0,30,13.393763
-400.0,30,13.393768
-200.0,30,13.393776
-190.0,30,13.39378
-90.0,30,13.393784
-390.0,30,13.500434
20.0,30,13.500456
10.0,30,13.500462
-200.0,30,13.500467
10.0,30,13.500471
10.0,30,13.500475
-190.0,30,13.500479
10.0,30,13.500483
-390.0,30,13.607035
-200.0,30,13.607052
-590.0,30,13.607058
-180.0,30,13.607063
-190.0,30,13.607068
-390.0,30,13.607072
20.0,30,13.607076
-200.0,30,13.60708
20.0,30,13.714929
20.0,30,13.714952
-100.0,30,13.714958
-300.0,30,13.714963
-200.0,30,13.714968
-190.0,30,13.714972
-200.0,30,13.714976
-400.0,30,13.71498
-380.0,30,13.822117
30.0,30,13.822135
110.0,30,13.822142
-190.0,30,13.822152
-390.0,30,13.822156
-390.0,30,13.82216
-200.0,30,13.822164
-80.0,30,13.822168
-190.0,30,13.929079
110.0,30,13.929096
-180.0,30,13.929102
-380.0,30,13.929106
10.0,30,13.929111
10.0,30,13.929115
-190.0,30,13.929119
-200.0,30,13.929134
-190.0,30,14.035968
-70.0,30,14.035983
-200.0,30,14.035989
-590.0,30,14.035994
20.0,30,14.035998
-190.0,30,14.036002
-180.0,30,14.036006
-90.0,30,14.03601
20.0,30,14.143312
10.0,30,14.143329
110.0,30,14.143335
10.0,30,14.14334
-180.0,30,14.143345
10.0,30,14.143349
-190.0,30,14.143357
-600.0,30,14.143361
110.0,30,14.249731
10.0,30,14.249748
120.0,30,14.249754
-400.0,30,14.249759
-180.0,30,14.249766
-400.0,30,14.249771
-80.0,30,14.249775
30.0,30,14.249779
-90.0,30,14.359827
-390.0,30,14.359874
-380.0,30,14.359883
-370.0,30,14.359888
10.0,30,14.359893
-90.0,30,14.359897
-400.0,30,14.359905
-190.0,30,14.35991
-190.0,30,14.468441
-200.0,30,14.46847
-200.0,30,14.468477
-290.0,30,14.468482
-390.0,30,14.468486
-180.0,30,14.468491
-180.0,30,14.468495
120.0,30,14.468499
10.0,30,14.576477
-400.0,30,14.576498
-190.0,30,14.576504
-190.0,30,14.576509
20.0,30,14.576514
-200.0,30,14.576518
110.0,30,14.576522
-200.0,30,14.576526
10.0,30,14.684494
-400.0,30,14.684515
-180.0,30,14.684521
-200.0,30,14.684526
-90.0,30,14.68453
-190.0,30,14.684538
-180.0,30,14.684543
-380.0,30,14.684547
0.0,30,14.803103
220.0,30,14.80315
-190.0,30,14.803163
-390.0,30,14.803169
-180.0,30,14.803174
10.0,30,14.803179
20.0,30,14.803183
-390.0,30,14.803188
-300.0,30,14.927401
-400.0,30,14.927443
330.0,30,14.927455
10.0,30,14.927461
-190.0,30,14.927466
-180.0,30,14.927471
-200.0,30,14.927475
-400.0,30,14.92748
-80.0,30,15.051114
-370.0,30,15.051151
-180.0,30,15.051159
10.0,30,15.051164
110.0,30,15.051169
-280.0,30,15.051173
10.0,30,15.051178
-190.0,30,15.051183
-300.0,30,15.172613
20.0,30,15.172639
-180.0,30,15.172646
20.0,30,15.172654
-380.0,30,15.172659
-190.0,30,15.172664
-100.0,30,15.172668
-190.0,30,15.172672
-180.0,30,15.281698
-190.0,30,15.281717
-100.0,30,15.281724
10.0,30,15.281732
-190.0,30,15.281737
-380.0,30,15.281741
-380.0,30,15.281745
-90.0,30,15.281749
-90.0,30,15.38876
-380.0,30,15.388793
20.0,30,15.388799
-180.0,30,15.388808
0.0,30,15.388812
-100.0,30,15.388816
-190.0,30,15.38882
10.0,30,15.388824
-200.0,30,15.495877
220.0,30,15.495895
-390.0,30,15.495901
-180.0,30,15.495906
-390.0,30,15.49591
-200.0,30,15.495914
-90.0,30,15.495918
-390.0,30,15.495922
-390.0,30,15.602771
-200.0,30,15.60279
-90.0,30,15.602797
20.0,30,15.602802
-400.0,30,15.602807
-190.0,30,15.602811
-180.0,30,15.602815
-290.0,30,15.602819
-190.0,30,15.710859
0.0,30,15.710885
-180.0,30,15.710892
-380.0,30,15.710897
-390.0,30,15.710901
20.0,30,15.710906
330.0,30,15.71091
-80.0,30,15.710914
-200.0,30,15.818017
-180.0,30,15.818034
20.0,30,15.81804
10.0,30,15.818045
-390.0,30,15.81805
-180.0,30,15.818054
-190.0,30,15.818058
-390.0,30,15.818062
20.0,30,15.92471
-190.0,30,15.924727
-390.0,30,15.924733
-400.0,30,15.924738
-600.0,30,15.924742
-180.0,30,15.924747
10.0,30,15.924751
-180.0,30,15.924755
-180.0,30,16.031573
-390.0,30,16.031591
-200.0,30,16.031597
0.0,30,16.031601
10.0,30,16.031606
-180.0,30,16.03161
-190.0,30,16.031614
230.0,30,16.031618
-380.0,30,16.137943
10.0,30,16.137962
-80.0,30,16.137969
-390.0,30,16.137977
-190.0,30,16.137981
-300.0,30,16.137986
0.0,30,16.137989
110.0,30,16.137993
-400.0,30,16.261934
-90.0,30,16.261977
-390.0,30,16.261989
-400.0,30,16.261994
120.0,30,16.261999
-500.0,30,16.262003
-400.0,30,16.262007
-90.0,30,16.262011
-180.0,30,16.368676
10.0,30,16.368696
10.0,30,16.368704
-190.0,30,16.368708
-590.0,30,16.368713
-190.0,30,16.368717
-190.0,30,16.368721
-190.0,30,16.368725
-390.0,30,16.475191
-90.0,30,16.475216
-200.0,30,16.475223
10.0,30,16.475228
-190.0,30,16.475233
-180.0,30,16.475237
-380.0,30,16.475241
-190.0,30,16.475245
0.0,30,16.583316
-200.0,30,16.583339
-400.0,30,16.583347
-200.0,30,16.583352
-100.0,30,16.583356
-180.0,30,16.58336
-200.0,30,16.583364
-100.0,30,16.583368
10.0,30,16.690589
-190.0,30,16.690615
-290.0,30,16.690621
-590.0,30,16.690626
10.0,30,16.690631
20.0,30,16.690635
20.0,30,16.690643
0.0,30,16.690647
-390.0,30,16.79776
-90.0,30,16.79778
230.0,30,16.797786
-200.0,30,16.797791
-170.0,30,16.797795
-290.0,30,16.7978
10.0,30,16.797808
10.0,30,16.797812
-180.0,30,16.904056
0.0,30,16.904076
-390.0,30,16.904082
-100.0,30,16.904087
0.0,30,16.904091
-90.0,30,16.904095
-200.0,30,16.904099
-590.0,30,16.904103
0.0,30,17.01049
0.0,30,17.01051
220.0,30,17.010516
-590.0,30,17.010521
-600.0,30,17.010525
-200.0,30,17.010529
-400.0,30,17.010533
-170.0,30,17.010537
-70.0,30,17.12579
-400.0,30,17.125831
-190.0,30,17.125843
-190.0,30,17.125848
120.0,30,17.125858
-180.0,30,17.125863
10.0,30,17.125867
-390.0,30,17.125871
10.0,30,17.25032
10.0,30,17.250361
-180.0,30,17.250372
-280.0,30,17.250378
-200.0,30,17.250383
-190.0,30,17.250387
